Name,MP,2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,ALLSTAR_Yes,POS_Forward,POS_Guard
Kirk Haston,26.8,11.2,0.48,0.7,0.366,4.2,0.7170000000000001,7.8,1.2,0.8,1.1,2.0,2.7,14.6,0,1,0
James Harden,35.0,8.0,0.57,3.9,0.376,7.2,0.755,5.4,3.7,1.9,0.4,3.0,2.5,19.0,1,0,1
De'Anthony Melton,27.0,4.4,0.51,2.1,0.284,3.0,0.706,4.7,3.5,1.9,1.0,1.8,2.3,8.3,0,0,1
Jared Jeffries,32.6,9.5,0.472,1.7,0.325,5.8,0.643,7.2,2.2,1.2,1.3,2.9,2.7,14.4,0,1,0
Linas Kleiza,28.7,8.6,0.453,2.8,0.287,6.1,0.7070000000000001,7.9,1.3,0.6,0.3,2.4,2.9,14.4,0,1,0
Tristan Thompson,25.5,4.6,0.472,3.6,0.396,5.0,0.816,2.8,1.3,0.6,0.1,1.7,1.8,12.7,0,1,0
Donovan Mitchell,26.0,5.2,0.4970000000000001,4.6,0.329,2.5,0.7879999999999999,4.1,2.2,1.5,0.3,1.3,2.6,11.7,0,0,1
Deandre Ayton,33.5,11.9,0.635,1.0,0.343,5.5,0.733,11.6,1.6,0.6,1.9,2.0,2.3,20.1,0,0,0
James Johnson,33.7,7.3,0.394,4.6,0.37,3.5,0.792,3.5,3.8,1.5,0.1,2.2,2.3,13.6,0,1,0
Jarrett Jack,32.3,5.9,0.53,2.6,0.359,4.5,0.7959999999999999,4.5,5.4,1.8,0.1,3.3,2.0,12.5,0,0,1
Ryan Kelly,16.3,1.2,0.54,0.0,0.0,0.9,0.474,1.9,0.4,0.2,0.3,0.6,2.2,1.8,0,1,0
Tobias Harris,29.2,9.6,0.4970000000000001,2.2,0.303,5.0,0.753,7.3,1.3,0.7,0.9,1.8,2.1,15.3,0,1,0
Willie Green,30.0,8.6,0.495,2.8,0.35200000000000004,3.8,0.757,4.2,2.2,0.9,0.3,2.0,2.3,14.3,0,0,1
Jaron Blossomgame,30.7,7.7,0.541,2.4,0.316,4.1,0.7240000000000001,6.5,1.1,0.6,0.7,1.5,1.6,13.5,0,1,0
