Name,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,ALLSTAR,YEAR,PK,POS
Khyri Thomas,102.0,95.0,27.2,4.2,8.2,0.511,2.9,5.1,0.578,1.3,3.2,0.406,1.5,2.1,0.7190000000000001,1.1,3.5,4.6,2.5,1.4,0.3,1.6,1.8,11.2,7.83,No,2018,38,Guard
CJ McCollum,111.0,108.0,32.9,6.9,15.7,0.439,5.0,10.5,0.47,2.0,5.2,0.377,5.5,6.7,0.825,1.5,4.8,6.3,2.7,2.1,0.5,2.4,1.8,21.3,-5.41,No,2013,10,Guard
Alex Len,60.0,48.0,24.5,3.8,7.0,0.5379999999999999,3.7,6.8,0.5479999999999999,0.0,0.2,0.111,2.2,3.3,0.6629999999999999,2.4,4.5,7.0,0.8,0.2,2.1,1.6,2.6,9.7,5.32,No,2013,5,Center
Maurice Ager,124.0,73.0,25.6,4.2,9.6,0.441,2.6,5.3,0.49200000000000005,1.6,4.3,0.38,2.5,3.2,0.775,0.8,2.6,3.4,1.5,0.5,0.3,1.7,1.9,12.5,8.19,No,2006,28,Guard
Jamison Brewer,58.0,33.0,23.2,2.1,4.5,0.456,1.8,3.5,0.525,0.2,1.0,0.22,1.3,2.5,0.527,2.8,4.4,4.7,4.1,1.1,0.1,2.2,1.3,5.7,7.67,No,2001,41,Guard
Joe Crawford,127.0,76.0,25.3,4.0,9.2,0.43799999999999994,2.6,5.0,0.512,1.5,4.2,0.35,1.8,2.6,0.7020000000000001,1.2,2.2,3.4,1.5,0.5,0.2,1.6,1.9,11.3,8.87,No,2008,58,Forward
Jason Thompson,122.0,112.0,32.1,6.2,11.8,0.526,6.0,11.0,0.544,0.2,0.8,0.29100000000000004,4.0,6.0,0.667,3.0,6.6,9.6,2.0,0.9,1.9,2.6,3.0,16.7,-3.38,No,2008,12,Forward
Jackson Vroman,63.0,62.0,30.6,5.4,9.7,0.5579999999999999,5.4,9.5,0.569,0.0,0.2,0.077,2.4,4.7,0.512,3.1,6.3,9.5,2.1,1.2,1.1,2.8,3.6,13.2,7.06,No,2004,31,Forward
Terrence Jones,76.0,69.0,30.4,5.0,10.8,0.467,4.5,9.1,0.493,0.6,1.7,0.32799999999999996,3.4,5.3,0.638,2.5,5.5,8.0,1.5,1.2,1.8,1.8,2.4,14.0,8.42,No,2012,18,Forward
Andrew Wiggins,35.0,35.0,32.8,5.4,12.1,0.44799999999999995,4.2,8.5,0.493,1.2,3.6,0.341,5.0,6.5,0.775,2.2,3.7,5.9,1.5,1.2,1.0,2.3,2.7,17.1,11.4,No,2014,1,Forward
Rashad Vaughn,23.0,23.0,32.3,6.3,14.3,0.439,3.9,8.1,0.48100000000000004,2.3,6.1,0.38299999999999995,3.0,4.3,0.6940000000000001,0.6,4.2,4.8,1.6,0.8,0.3,2.2,2.3,17.8,3.38,No,2015,17,Guard
Tyrone Wallace,129.0,114.0,31.6,4.6,11.0,0.415,3.6,7.9,0.46399999999999997,0.9,3.1,0.292,2.6,4.2,0.613,1.0,4.2,5.2,3.4,1.1,0.4,2.2,2.5,12.6,7.3,No,2016,60,Guard
Patrick Patterson,97.0,97.0,34.0,6.4,10.9,0.585,6.1,10.1,0.604,0.2,0.8,0.32899999999999996,3.2,4.3,0.7340000000000001,2.9,5.3,8.2,1.5,0.7,1.6,1.6,2.1,16.1,6.24,No,2010,14,Forward
Collin Sexton,33.0,32.0,29.9,5.9,13.3,0.447,4.6,9.3,0.495,1.3,4.0,0.336,5.9,7.6,0.778,1.0,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,10.64,No,2018,8,Guard
Malcolm Lee,94.0,65.0,26.7,3.3,7.5,0.441,2.6,4.8,0.5329999999999999,0.8,2.7,0.278,2.3,3.2,0.7170000000000001,0.8,2.2,3.0,2.0,0.8,0.2,1.7,2.0,9.7,7.66,No,2011,43,Guard
Larry Sanders,101.0,82.0,23.5,4.1,7.9,0.52,4.1,7.7,0.526,0.0,0.2,0.25,2.1,3.6,0.5770000000000001,2.5,5.2,7.7,0.5,0.6,2.7,1.5,3.1,10.3,-0.69,No,2010,15,Center
Anthony Brown,47.0,4.0,13.1,1.1,2.4,0.48200000000000004,1.1,2.2,0.505,0.0,0.1,0.14300000000000002,0.7,1.2,0.569,1.0,1.3,2.3,0.3,0.3,0.4,0.4,2.0,3.0,7.55,No,2015,34,Forward
Alec Burks,68.0,67.0,30.9,6.2,12.6,0.495,5.5,10.4,0.5329999999999999,0.7,2.2,0.313,5.9,7.3,0.804,2.2,3.6,5.8,2.4,1.1,0.4,2.3,2.4,19.0,6.65,No,2011,12,Guard
Allen Crabbe,98.0,97.0,34.7,5.4,12.2,0.446,3.3,6.6,0.5,2.1,5.6,0.382,2.7,3.3,0.8190000000000001,0.9,4.8,5.7,2.2,0.9,0.6,1.9,1.7,15.7,7.16,No,2013,31,Guard
Javaris Crittenton,32.0,31.0,31.3,4.9,11.0,0.45,3.8,7.8,0.488,1.1,3.2,0.35600000000000004,3.4,4.3,0.7829999999999999,0.9,2.8,3.7,5.8,2.0,0.1,3.9,2.1,14.4,9.36,No,2007,19,Guard
